題號,題目,選項1,選項2,選項3,選項4,答案,答案精簡說明,
1,在強化學習領域中，主要的策略目標是什麼？,提高數據的準確性,最大化累計獎勵,最小化模型複雜度,減少訓練時間,B,最大化累計獎勵是強化學習的根本目標。,
2,隨機森林演算法屬於哪種類型的演算法？,線性模型,集成學習,非監督式學習,強化學習,B,隨機森林是將多個決策樹組合的集成學習方法。,
3,資料轉換（Data Transformation）中，「特徵標準化（Standardization）」的目的是什麼？,將數據轉換為均值為0、標準差為1的分布,增強圖像邊緣,將數據壓縮到固定範圍內,增加資料筆數,A,標準化將數據轉換為平均值為0、標準差為1的分佈。,
4,鑑別式AI（Discriminative AI）的原理是？,根據已有的輸入序列預測下一個最有可能出現的詞元,學習不同類別資料之間的「決策邊界」,生成全新的數據樣本,僅限於處理圖像和語音數據,B,鑑別式AI旨在學習區分不同類別的邊界。,
5,在編碼器-解碼器架構中，哪種輸出詞元選擇方法是最簡單的，每次都選擇機率最高的詞元？,集束搜索 (Beam Search),貪婪搜索 (Greedy Search),採樣 (Sampling),序列到序列學習,B,貪婪搜索在每一步都選擇當前機率最高的詞元。,
6,「MSE」（Mean Squared Error）主要用於評估哪種類型的機器學習問題？,分類問題,聚類問題,迴歸問題,維度縮減問題,C,MSE用於衡量迴歸模型預測值與真實值之間的平均平方差。,
7,在歐盟AI法案中，被歸類為「不可接受的風險」的AI系統，下列哪項是其典型例子？,垃圾郵件過濾器,用於醫院的輔助診斷AI,公共場所用於執法目的的實時遠端生物識別識別系統,個人化商品推薦系統,C,實時遠端生物識別識別系統（公共場所執法目的）被列為不可接受風險。,
8,Google Cloud的AI應用開發工具平台是什麼？,TensorFlow,Vertex AI,Keras,PyTorch,B,Vertex AI是Google Cloud整合式機器學習開發平台。,
9,L1正則化（Lasso Regression）在模型訓練中主要會產生什麼效果？,將所有權重壓縮到接近零,將一些權重完全壓縮為零，實現特徵選擇,增加模型的複雜度,加速模型的訓練速度,B,L1正則化具有稀疏性，會將不重要特徵的權重設為零。,
10,L2正則化（Ridge Regression）在處理特徵共線性問題時有何優勢？,完全移除共線特徵,將相關特徵的權重等比例壓縮，使其更穩定,僅對共線特徵進行懲罰,增加特徵的數量,B,L2正則化能有效處理共線性，將相關特徵的權重等比例縮小。,
11,大數據的5V特性中，描述數據來源和格式多樣性的是哪個V？,Volume (資料量),Velocity (處理速度),Variety (資料多樣性),Veracity (資料真實性),C,Variety指數據的類型和格式多樣化。,
12,大數據的5V特性中，描述數據規模非常巨大的是哪個V？,Volume (資料量),Velocity (處理速度),Variety (資料多樣性),Value (資料價值),A,Volume指的是數據的體積或規模。,
13,大數據的5V特性中，描述數據產生和處理速度非常快的是哪個V？,Volume (資料量),Velocity (處理速度),Variety (資料多樣性),Veracity (資料真實性),B,Velocity指的是數據處理的實時性或近實時性。,
14,大數據的5V特性中，描述數據的質量、準確性和可信度的是哪個V？,Volume (資料量),Velocity (處理速度),Variety (資料多樣性),Veracity (資料真實性),D,Veracity關注數據的可靠性。,
15,大數據的5V特性中，描述從數據中提取有意義、有商業價值的資訊的能力是哪個V？,Variety (資料多樣性),Velocity (處理速度),Veracity (資料真實性),Value (資料價值),D,Value指從數據中挖掘潛在的商業價值。,
16,在OSEMN數據處理流程中，哪一步驟主要處理缺失值、異常值和重複數據？,Obtain (獲取數據),Scrub (清洗數據),Explore (探索數據),Model (建立模型),B,Scrubing專注於數據清理和預處理。,
17,在OSEMN數據處理流程中，哪一步驟主要進行數據視覺化和統計摘要？,Obtain (獲取數據),Scrub (清洗數據),Explore (探索數據),Model (建立模型),C,Explore階段進行探索性數據分析（EDA）。,
18,在OSEMN數據處理流程中，哪一步驟涉及選擇演算法、訓練模型和評估模型性能？,Scrub (清洗數據),Explore (探索數據),Model (建立模型),Narrate (解釋與展示),C,Model階段包含模型的選擇、訓練和初步評估。,
19,在OSEMN數據處理流程中，N（Narrate）的主要目標是什麼？,將模型應用於新數據,將分析結果和模型見解清晰地傳達給決策者,清洗數據中的錯誤,探索數據的內在模式,B,Narrate旨在有效溝通分析結果。,
20,特徵標準化後，數據的平均值和標準差分別為多少？,平均值為1，標準差為0,平均值為0，標準差為1,平均值為任意值，標準差為1,平均值為0，標準差為任意值,B,標準化將數據中心化並單位化。,
21,鑑別式AI模型直接學習什麼？,數據的生成分佈,條件機率P(Y|X)或從X到Y的映射,聯合機率P(X Y),數據的潛在表示,B,鑑別式模型直接學習如何區分類別。,
22,生成式AI模型通常學習什麼？,決策邊界,條件機率P(Y|X),數據的生成分佈P(X)或聯合機率P(XY),特徵的重要性,C,生成式模型旨在理解數據的生成機制。,
